Date,YoY,InfChange
1982-09-30,5.979568161,-0.18413288812435757
1982-10-31,5.978948458,-0.0001036367482258882
1982-11-30,5.304532965,-0.11279834535078037
1982-12-31,4.248605204,-0.19906140049786636
1983-01-31,4.424606951,0.04142577117645496
1983-02-28,4.356216055,-0.015456942674771046
1983-03-31,4.586331541,0.05282462648652997
1983-04-30,4.187719488,-0.08691304792001298
1983-05-31,3.285270905,-0.21549881399314963
1983-06-30,2.582464401,-0.21392649931254293
1983-07-31,2.370321394,-0.0821475048863608
1983-08-31,2.293245829,-0.03251692584604837
1983-09-30,2.688915363,0.17253690336920258
1983-10-31,2.837489986,0.05525448106118014
1983-11-30,3.496604743,0.23228795881290543
1983-12-31,4.455576949,0.274258109361605
1984-01-31,4.47100051,0.0034616304861396774
1984-02-29,4.509240951,0.008552994103773859
1984-03-31,4.638826514,0.028737777468126335
1984-04-30,4.632179596,-0.0014328878176278481
1984-05-31,4.693964637,0.013338222260067756
1984-06-30,4.773046608,0.016847585594624848
1984-07-31,4.88156286,0.02273521733856909
1984-08-31,5.017877611,0.027924407594333456
1984-09-30,5.122410713,0.020832134640120792
1984-10-31,5.086232886,-0.00706265643795112
1984-11-30,4.951399759,-0.026509428494934317
1984-12-31,5.03485707,0.01685529649435047
1985-01-31,4.71440976,-0.0636457610503729
1985-02-28,4.860092398,0.030901564653132763
1985-03-31,4.95037523,0.018576361230735472
1985-04-30,4.742850309,-0.04192104867977853
1985-05-31,5.02421107,0.05932313749520879
1985-06-30,5.042571195,0.0036543299523441597
1985-07-31,4.934458147,-0.02144006377286256
1985-08-31,4.931448285,-0.0006099680877483804
1985-09-30,4.772256068,-0.03228102735746319
1985-10-31,4.87735108,0.022022081485674416
1985-11-30,5.134382326,0.05269894288602228
1985-12-31,5.015425836,-0.023168607720857826
1986-01-31,5.280952944,0.05294208641150355
1986-02-28,5.109255446,-0.032512597597574855
1986-03-31,5.212476107,0.020202681602230488
1986-04-30,5.352667382,0.026895331915619325
1986-05-31,5.024657147,-0.06127977167104304
1986-06-30,5.026885723,0.00044352797311364434
1986-07-31,4.960427947,-0.013220466838131828
1986-08-31,4.823456322,-0.02761286454787404
1986-09-30,4.947499067,0.0257165685183538
1986-10-31,4.881662479,-0.013307044045572924
1986-11-30,4.575152807,-0.06278796891807803
1986-12-31,4.654910621,0.01743281970341415
1987-01-31,4.492110038,-0.03497394391753672
1987-02-28,4.45173175,-0.008988713023151296
1987-03-31,4.276017854,-0.039470908371781466
1987-04-30,4.371203735,0.022260403078288915
1987-05-31,4.429512321,0.013339251504826066
1987-06-30,4.187984457,-0.05452696515933231
1987-07-31,4.178766144,-0.0022011335272728028
1987-08-31,4.293051178,0.027348990123339023
1987-09-30,4.305931321,0.0030002304808303126
1987-10-31,4.356981982,0.011855892998345219
1987-11-30,4.329616016,-0.0062809454142929155
1987-12-31,4.291749243,-0.008745988757447365
1988-01-31,4.373233966,0.018986366254483356
1988-02-29,4.375628463,0.0005475346205157106
1988-03-31,4.440936865,0.014925490715732348
1988-04-30,4.37597416,-0.014628153242165043
1988-05-31,4.432652625,0.01295219371222256
1988-06-30,4.673118224,0.05424869019597489
1988-07-31,4.70086963,0.005938519992384261
1988-08-31,4.674256215,-0.005661381211288785
1988-09-30,4.721200474,0.010043150576417359
1988-10-31,4.607887381,-0.02400090689307155
1988-11-30,4.742903047,0.02930099085249327
1988-12-31,4.790034691,0.009937298640293912
1989-01-31,4.748201473,-0.008733385183744113
1989-02-28,4.783533199,0.007441075573753286
1989-03-31,4.750414948,-0.0069233868820901545
1989-04-30,4.618488017,-0.027771664674376306
1989-05-31,4.742747969,0.026904898647049924
1989-06-30,4.74510822,0.0004976547384401009
1989-07-31,4.893807623,0.03133741025615633
1989-08-31,4.854148787,-0.008103881283279435
1989-09-30,4.669891213,-0.03795878167011779
1989-10-31,4.802933382,0.02848935080749615
1989-11-30,4.797568826,-0.001116933251688379
1989-12-31,4.829006386,0.006552810629756101
1990-01-31,4.905908309,0.01592499923440771
1990-02-28,4.91755923,0.0023748754086223567
1990-03-31,5.19152475,0.05571168687275785
1990-04-30,5.276985365,0.016461563628296316
1990-05-31,5.166732439,-0.020893165012596193
1990-06-30,5.370697673,0.03947663952180136
1990-07-31,5.516605952,0.02716747206485337
1990-08-31,5.836270781,0.057945923957847256
1990-09-30,5.930360317,0.016121516552369153
1990-10-31,5.798506168,-0.022233750050907664
1990-11-30,5.683108196,-0.019901327800053492
1990-12-31,5.651092078,-0.005633557710996051
1991-01-31,5.815290409,0.029056035317356343
1991-02-28,5.8623588,0.008093902056405478
1991-03-31,5.474284579,-0.06619762355726166
1991-04-30,5.276160434,-0.03619178764655884
1991-05-31,5.222445891,-0.010180612146260759
1991-06-30,4.934653949,-0.0551067350445813
1991-07-31,4.713410392,-0.044834665061941115
1991-08-31,4.393094508,-0.06795841171472516
1991-09-30,4.443594793,0.01149537869218098
1991-10-31,4.288991989,-0.034792282195384994
1991-11-30,4.34967757,0.01414914766817943
1991-12-31,4.346967664,-0.0006230130754265595
1992-01-31,4.052308746,-0.06778493441307565
1992-02-29,3.861765064,-0.047021017879766314
1992-03-31,3.975844252,0.029540685699258162
1992-04-30,4.066438773,0.02278623488694942
1992-05-31,3.926410529,-0.034435104477595346
1992-06-30,3.860188559,-0.016865778428132305
1992-07-31,3.769367667,-0.023527579187356484
1992-08-31,3.628120085,-0.03747248729185859
1992-09-30,3.349237754,-0.07686689648256229
1992-10-31,3.6359146,0.08559465378581188
1992-11-30,3.629469745,-0.001772554008831695
1992-12-31,3.478262556,-0.04166095865885233
1993-01-31,3.528455109,0.01443035199094389
1993-02-28,3.561853788,0.009465524703661465
1993-03-31,3.334428143,-0.06385035954204654
1993-04-30,3.404237829,0.020936029509753373
1993-05-31,3.532736691,0.03774673464507816
1993-06-30,3.569326945,0.010357481239181121
1993-07-31,3.422616714,-0.04110305199290165
1993-08-31,3.508810757,0.025183667995142045
1993-09-30,3.642383692,0.038067865225710706
1993-10-31,3.424737275,-0.05975384127653294
1993-11-30,3.436277096,0.0033695492744039157
1993-12-31,3.548475916,0.0326512725445236
1994-01-31,3.375759896,-0.04867329639218554
1994-02-28,3.415920384,0.011896725252168228
1994-03-31,3.570150943,0.0451505133791783
1994-04-30,3.354397547,-0.06043256978336664
1994-05-31,3.225532887,-0.038416633149296775
1994-06-30,3.194738495,-0.009547071159656029
1994-07-31,3.233880147,0.012251911091082812
1994-08-31,3.306714086,0.02252215162258464
1994-09-30,3.254281644,-0.015856357893774042
1994-10-31,3.164264289,-0.027661206019450546
1994-11-30,3.128282179,-0.011371398440100378
1994-12-31,2.901446577,-0.072511234287858
1995-01-31,3.144200833,0.08366662957861526
1995-02-28,3.124100115,-0.006392949772493162
1995-03-31,3.167481169,0.013885935918542147
1995-04-30,3.306684647,0.04394768921197634
1995-05-31,3.355294523,0.014700487403327411
1995-06-30,3.332283478,-0.006858129693910087
1995-07-31,3.386948974,0.016404815604946554
