Date,Close_AAPL,Volume_AAPL,Open_AAPL,High_AAPL,Low_AAPL,Return_AAPL,Close_MSFT,Volume_MSFT,Open_MSFT,High_MSFT,Low_MSFT,Return_MSFT,YoY,InfChange
2016-12-31,7.765263375626686e+30,7.563728011727846e+168,7.302887858159842e+30,8.77034643846202e+30,6.734002148457967e+30,0.048136083966703325,6.32403428953995e+37,3.4481340679993094e+154,6.291929117773353e+37,7.288558951680779e+37,5.465778222518889e+37,0.03119814138732191,2.585286,0.02649208040772444
2017-01-31,6.2603465467244555e+29,5.95635814363494e+160,5.792147540805302e+29,6.584272703798815e+29,5.5086949461418115e+29,0.047651933701657656,1.4080280823221322e+36,3.4612713168381605e+147,1.4049392415559837e+36,1.5634057506626627e+36,1.2274387899271466e+36,0.0403926617315733,2.651739,0.025704312791698936
2017-02-28,1.5839938165142233e+29,4.958189911172468e+152,1.4814301834494878e+29,1.6861096710279094e+29,1.4027418893812302e+29,0.1288727752142389,2.880962698456467e+34,4.146131001012872e+139,2.8987353291046065e+34,3.121565294666623e+34,2.6143321727173584e+34,-0.010363495746326334,2.664566,0.004837203058068784
2017-03-31,6.878603323878158e+35,2.2624130127510524e+183,6.602348637249409e+35,7.542704757720636e+35,5.9499924312925766e+35,0.048759124087590866,6.686894165850752e+41,1.2512476439025497e+168,6.485624364276939e+41,7.444095813693458e+41,5.8172918098330784e+41,0.029384182557048444,2.436586,-0.08555989981107615
2017-04-30,5.413365442584648e+29,6.882022327893992e+149,5.515091606655367e+29,5.9361412839917664e+29,5.0327868210781506e+29,-0.00027839643652527446,5.192103315379406e+34,2.3288211277548913e+139,5.291395154063611e+34,5.725977495103763e+34,4.684834040777123e+34,0.03947767992711815,2.235672,-0.08245717573687117
2017-05-31,1.0379944021870881e+35,1.4008950489316933e+177,9.987509286669487e+34,1.1665890525587732e+35,8.84691379705102e+34,0.06349206349206327,3.804907692295005e+40,6.594795993870079e+161,3.699573898475567e+40,4.1709352746949927e+40,3.2742292942042435e+40,0.020157756354075573,2.139634,-0.042957106409169166
2017-06-30,5.509578072418603e+34,2.2161752104584137e+177,5.823676994899416e+34,6.607938855809955e+34,4.594421455920566e+34,-0.05708300602251848,6.252824106664249e+40,4.3139892808089106e+163,6.335248370567892e+40,7.281817971113348e+40,5.061336726570251e+40,-0.013029782359679443,2.122109,-0.008190653167784778
2017-07-31,4.085453014043893e+31,1.9674953572885397e+158,3.976036952910718e+31,4.581063615193194e+31,3.490359557135936e+31,0.032490974729241895,1.8381745256178327e+37,7.257067873725332e+146,1.7549388610188331e+37,2.0533957560936816e+37,1.571783008159769e+37,0.054693166980995134,2.131777,0.004555845152157678
2017-08-31,1.0787179232819746e+37,7.7848092579728e+184,1.0683276956428894e+37,1.264550164526381e+37,9.076392769219656e+36,0.10274341043571833,9.271759932088594e+42,1.8535240909030202e+167,8.985996324297597e+42,1.0432522137240065e+43,7.853030710845529e+42,0.0284731774415401,2.075047,-0.026611601494903048
2017-09-30,1.3362831205818002e+32,1.0330528165927068e+162,1.4241693952257315e+32,1.5595154943186792e+32,1.155774028344135e+32,-0.06024390243902389,3.472867364257899e+37,1.320567842980453e+145,3.4924710422720237e+37,3.903615849419596e+37,3.0781159984975985e+37,-0.0037448174401496503,2.091354,0.007858617178309713
2017-10-31,2.242424046810594e+35,3.2975328188013747e+174,2.1094766469580485e+35,2.4888041578005097e+35,1.921523461351648e+35,0.09680768232546022,5.435925485108186e+41,6.004561542737657e+159,5.348284920722669e+41,6.072644055619098e+41,4.8446166318343935e+41,0.1166599543562894,2.177581,0.04123022692475797
2017-11-30,3.40958843225897e+34,4.455813336706854e+168,3.468412808557719e+34,3.854147183934199e+34,2.8788266903473713e+34,0.016564126833885418,3.0703211657068754e+40,1.079798152645319e+153,3.0160226510771677e+40,3.3648504953190588e+40,2.6723311533134973e+40,0.011901899495071255,2.099803,-0.035717615096751865
2017-12-31,7.296480469746418e+32,1.608896955812966e+160,7.160122682977798e+32,8.173156597583196e+32,6.482227007430496e+32,-0.01513035381750416,4.614564179917613e+38,4.2302503163611505e+146,4.698762272156894e+38,5.374142866078791e+38,4.013033780198887e+38,0.016276583105619746,2.117186,0.008278395639971903
2018-01-31,4.114814678558304e+34,4.585098883341505e+169,4.1215419919437526e+34,4.737000215189695e+34,3.5729413347747155e+34,-0.010635783502717433,1.392535171612101e+41,6.109495552639569e+155,1.3576248574723353e+41,1.5904400213077473e+41,1.1841604798755658e+41,0.11070844049567441,2.157823,0.019193873377209236
